video_id,body_part,keyword_explanation
video_01,upper_arm,moderately above shoulder level (increased strain on shoulder joint)
video_01,neck,strongly flexed (causing significant muscular load)
video_01,trunk,severely bent forward (high risk of lower back strain)
video_02,upper_arm,far above shoulder level (overhead work; high shoulder load)
video_02,trunk,bent forward 20 to 60 degrees (causing increased spinal loading)
video_03,upper_arm,"far above shoulder level (overhead work; high shoulder load), with abducted (Rotator cuff stress; joint instability)"
video_03,lower_arm,too extended or overly flexed (fatigue if sustained)
video_03,trunk,tilted sideways (leading to muscle imbalance and fatigue)
video_04,upper_arm,far above shoulder level (overhead work; high shoulder load)
video_05,trunk,severely bent forward (high risk of lower back strain)
video_05,upper_arm,abducted (Rotator cuff stress; joint instability)
video_06,upper_arm,"moderately above shoulder level (increased strain on shoulder joint), with abducted (Rotator cuff stress; joint instability)"
video_06,trunk,"severely bent forward (high risk of lower back strain), with rotated (increasing torsional load on the spine)"
video_07,neck,side-bent (causing muscle imbalance and fatigue)
video_07,trunk,severely bent forward (high risk of lower back strain)
video_07,legs,standing on one leg (asymmetric load on lower body)
video_08,upper_arm,moderately above shoulder level (increased strain on shoulder joint)
video_08,lower_arm,too extended or overly flexed (fatigue if sustained)
video_08,trunk,bent forward 20 to 60 degrees (causing increased spinal loading)
video_09,trunk,severely bent forward (high risk of lower back strain)
video_09,neck,strongly flexed (causing significant muscular load)
video_10,upper_arm,far above shoulder level (overhead work; high shoulder load)
video_10,lower_arm,too extended or overly flexed (fatigue if sustained)
video_10,trunk,tilted sideways (leading to muscle imbalance and fatigue)
video_11,trunk,tilted sideways (leading to muscle imbalance and fatigue)
video_11,neck,neck extension (increasing cervical spine stress)
video_12,legs,standing on one leg (asymmetric load on lower body)
video_12,neck,strongly flexed (causing significant muscular load)
video_12,upper_arm,"moderately above shoulder level (increased strain on shoulder joint), with abducted (Rotator cuff stress; joint instability)"
video_13,upper_arm,far above shoulder level (overhead work; high shoulder load)
video_13,lower_arm,too extended or overly flexed (fatigue if sustained)
video_14,trunk,rotated (increasing torsional load on the spine)
video_14,neck,"neck extension (increasing cervical spine stress), with side-bent (causing muscle imbalance and fatigue)"
video_15,trunk,"severely bent forward (high risk of lower back strain), with tilted sideways (leading to muscle imbalance and fatigue)"
video_15,upper_arm,moderately above shoulder level (increased strain on shoulder joint)
video_16,trunk,"severely bent forward (high risk of lower back strain), with tilted sideways (leading to muscle imbalance and fatigue)"
video_16,upper_arm,far above shoulder level (overhead work; high shoulder load)
video_17,neck,neck extension (increasing cervical spine stress)
video_17,legs,standing on one leg (asymmetric load on lower body)
video_18,neck,neck extension (increasing cervical spine stress)
video_18,trunk,tilted sideways (leading to muscle imbalance and fatigue)
video_19,trunk,rotated (increasing torsional load on the spine)
video_19,neck,strongly flexed (causing significant muscular load)
video_20,trunk,"bent forward 20 to 60 degrees (causing increased spinal loading), with rotated (increasing torsional load on the spine) and tilted sideways (leading to muscle imbalance and fatigue)"
video_20,upper_arm,far above shoulder level (overhead work; high shoulder load)
video_21,legs,standing on one leg (asymmetric load on lower body)
video_21,trunk,"bent forward 20 to 60 degrees (causing increased spinal loading), with tilted sideways (leading to muscle imbalance and fatigue)"
video_22,trunk,rotated (increasing torsional load on the spine)
video_22,neck,strongly flexed (causing significant muscular load)
video_22,upper_arm,abducted (Rotator cuff stress; joint instability)
video_23,trunk,rotated (increasing torsional load on the spine)
video_23,neck,neck extension (increasing cervical spine stress)
video_24,upper_arm,moderately above shoulder level (increased strain on shoulder joint)
video_24,trunk,severely bent forward (high risk of lower back strain)
video_25,lower_arm,too extended or overly flexed (fatigue if sustained)
video_25,upper_arm,far above shoulder level (overhead work; high shoulder load)
video_25,neck,strongly flexed (causing significant muscular load)
video_26,neck,"neck extension (increasing cervical spine stress), with side-bent (causing muscle imbalance and fatigue)"
video_27,trunk,rotated (increasing torsional load on the spine)
video_27,legs,standing on one leg (asymmetric load on lower body)
video_28,trunk,"bent forward 20 to 60 degrees (causing increased spinal loading), with rotated (increasing torsional load on the spine)"
video_28,legs,standing on one leg (asymmetric load on lower body)
video_29,trunk,severely bent forward (high risk of lower back strain)
video_29,upper_arm,abducted (Rotator cuff stress; joint instability)
video_30,lower_arm,too extended or overly flexed (fatigue if sustained)
video_30,neck,"strongly flexed (causing significant muscular load), with side-bent (causing muscle imbalance and fatigue)"
video_30,trunk,rotated (increasing torsional load on the spine)
video_31,upper_arm,abducted (Rotator cuff stress; joint instability)
video_31,trunk,bent forward 20 to 60 degrees (causing increased spinal loading)
video_32,trunk,tilted sideways (leading to muscle imbalance and fatigue)
video_32,upper_arm,moderately above shoulder level (increased strain on shoulder joint)
video_33,trunk,"bent forward 20 to 60 degrees (causing increased spinal loading), with rotated (increasing torsional load on the spine)"
video_34,trunk,tilted sideways (leading to muscle imbalance and fatigue)
video_34,neck,side-bent (causing muscle imbalance and fatigue)
video_34,lower_arm,too extended or overly flexed (fatigue if sustained)
video_34,upper_arm,far above shoulder level (overhead work; high shoulder load)
video_35,legs,standing on one leg (asymmetric load on lower body)
video_35,neck,side-bent (causing muscle imbalance and fatigue)
video_35,upper_arm,abducted (Rotator cuff stress; joint instability)
video_36,upper_arm,"far above shoulder level (overhead work; high shoulder load), with abducted (Rotator cuff stress; joint instability)"
video_37,neck,neck extension (increasing cervical spine stress)
video_37,upper_arm,"far above shoulder level (overhead work; high shoulder load), with abducted (Rotator cuff stress; joint instability)"
video_38,lower_arm,too extended or overly flexed (fatigue if sustained)
video_38,legs,standing on one leg (asymmetric load on lower body)
video_38,trunk,bent forward 20 to 60 degrees (causing increased spinal loading)
video_39,trunk,tilted sideways (leading to muscle imbalance and fatigue)
